"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
3152,1409,1223,482,708,39.41128373,57.89043336,86.79914833,18.47914963
3154,1404,1267,398,848,31.41278611,66.92975533,90.24216524,35.51696922
3156,2033,1602,526,1027,32.83395755,64.10736579,78.79980325,31.27340824
3158,2648,1975,897,1003,45.41772152,50.78481013,74.58459215,5.36708861
3160,1010,756,339,378,44.84126984,50,74.85148515,5.15873016
3162,1109,844,286,519,33.88625592,61.492891,76.10459874,27.60663508
3164,1859,1414,593,776,41.93776521,54.87977369,76.06239914,12.94200848
3166,914,668,349,300,52.24550898,44.91017964,73.08533917,-7.33532934
3168,1996,1483,520,903,35.06405934,60.89008766,74.29859719,25.82602832
3170,2568,1699,628,995,36.96291936,58.56386109,66.16043614,21.60094173
3172,954,552,156,368,28.26086957,66.66666667,57.86163522,38.4057971
3174,565,398,172,214,43.2160804,53.76884422,70.44247788,10.55276382
3176,396,275,99,165,36,60,69.44444444,24
3180,0,0,0,0,0,0,0,0
3182,209,147,42,98,28.57142857,66.66666667,70.33492823,38.0952381
3186,418,320,118,186,36.875,58.125,76.55502392,21.25
3187,1404,973,350,563,35.97122302,57.8622816,69.3019943,21.89105858
3188,1042,762,321,397,42.12598425,52.09973753,73.12859885,9.97375328
3190,631,424,116,288,27.35849057,67.9245283,67.19492868,40.56603773
